state,size,month,capacity
aus,0,1191,3363
aus,1,1191,8708
aus,2,1191,3116
aus,3,1191,1937
aus,4,1191,1452
aus,5,1191,8155
nsw+act,0,1191,801
nsw+act,1,1191,2111
nsw+act,2,1191,1115
nsw+act,3,1191,503
nsw+act,4,1191,301
nsw+act,5,1191,3245
nt,0,1186,0
nt,1,1186,42
nt,2,1186,0
nt,3,1186,1
nt,4,1186,66
nt,5,1186,33
qld,0,1191,811
qld,1,1191,2362
qld,2,1191,894
qld,3,1191,405
qld,4,1191,283
qld,5,1191,3107
sa,0,1191,318
sa,1,1191,826
sa,2,1191,305
sa,3,1191,178
sa,4,1191,225
sa,5,1191,401
tas,0,1180,11
tas,1,1180,48
tas,2,1180,0
tas,3,1180,0
tas,4,1180,2
tas,5,1180,0
vic,0,1191,627
vic,1,1191,1703
vic,2,1191,415
vic,3,1191,419
vic,4,1191,311
vic,5,1191,1157
wa,0,1191,415
wa,1,1191,1202
wa,2,1191,84
wa,3,1191,133
wa,4,1191,116
wa,5,1191,202
